centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index
1601473.8758166605,-2158019.413791975,8,2,94.0,2005.8864064846932,9530.594569752231,1009.1906375266176,3,51
1601473.8758166605,-2157019.413791975,8,2,82.0,1785.19553930718,10205.267548581756,1797.595522165012,3,52
1601473.8758166605,-2156019.413791975,8,2,69.0,1483.2773500179323,10929.901125960883,2586.0004068034063,3,53
1602473.8758166605,-2175019.413791975,9,2,87.0,780.3094098580416,2031.5591314627848,2224.3675542392025,4,34
1602473.8758166605,-2174019.413791975,9,2,94.0,1720.097393600768,1838.642405940371,1917.765915042325,4,35
1602473.8758166605,-2173019.413791975,9,2,101.0,2232.4199109679075,1377.293604068149,1611.1642758454475,4,36
1602473.8758166605,-2172019.413791975,9,2,109.0,1684.9188119090072,1553.470130608203,1304.56263664857,4,37
1602473.8758166605,-2171019.413791975,9,2,119.0,764.6093668692235,2220.2705289168484,997.9609974516922,4,38
1602473.8758166605,-2170019.413791975,9,2,128.0,74.37981729097842,3073.4236604252164,691.3593582548144,4,39
1602473.8758166605,-2169019.413791975,9,2,137.0,602.2054036526152,3995.280311986428,384.7577190579368,4,40
1602473.8758166605,-2168019.413791975,9,2,146.0,1070.513499732095,4947.584920567933,78.15607986105903,4,41
1602473.8758166605,-2167019.413791975,9,2,152.0,1225.9467570019715,5915.651132471898,0.0,4,42
1602473.8758166605,-2166019.413791975,9,2,157.0,562.567657264165,6539.231667646583,0.0,4,43
1602473.8758166605,-2165019.413791975,9,2,159.0,242.8455969359798,6330.624273189576,0.0,4,44
1602473.8758166605,-2164019.413791975,9,2,159.0,577.262217688747,6276.309152156399,0.0,4,45
1602473.8758166605,-2163019.413791975,9,2,157.0,403.6193199942917,6380.228009921536,0.0,4,46
1602473.8758166605,-2162019.413791975,9,2,151.0,1400.1619835209906,6634.950063394031,0.0,4,47
1602473.8758166605,-2161019.413791975,9,2,144.0,2396.8848593762527,7024.08821334681,0.0,4,48
1602473.8758166605,-2160019.413791975,9,2,134.0,1794.6368290181017,7526.823241847966,0.0,4,49
1602473.8758166605,-2159019.413791975,9,2,122.0,1268.876213226504,8122.088462899666,0.0,4,50
1602473.8758166605,-2158019.413791975,9,2,109.0,1028.816019947429,8791.107659693003,394.0339600221628,4,51
1602473.8758166605,-2157019.413791975,9,2,95.0,810.783208999397,9518.341597644943,1182.438844660557,4,52
1602473.8758166605,-2156019.413791975,9,2,81.0,593.1948658162449,10291.45663424781,1970.843729298952,4,53
1602473.8758166605,-2155019.413791975,9,2,67.0,181.00036652995607,11100.8708009664,2759.248613937346,4,54
1603473.8758166605,-2179019.413791975,10,2,86.0,3273.5043940724745,4010.622440408034,2498.936186355824,5,30
1603473.8758166605,-2178019.413791975,10,2,91.0,2287.669081765272,3054.786543945176,2192.334547158946,5,31
1603473.8758166605,-2177019.413791975,10,2,94.0,1319.6779113008456,2139.707760100088,1885.732907962068,5,32
1603473.8758166605,-2176019.413791975,10,2,98.0,445.7312560751582,1350.917380225954,1579.1312687651905,5,33
1603473.8758166605,-2175019.413791975,10,2,102.0,383.0250158282055,1035.1841564478157,1272.5296295683129,5,34
1603473.8758166605,-2174019.413791975,10,2,107.0,866.1953112489763,1291.825808038495,965.927990371435,5,35
1603473.8758166605,-2173019.413791975,10,2,113.0,1313.943806017584,430.2855949240524,659.3263511745575,5,36
1603473.8758166605,-2172019.413791975,10,2,120.0,932.4481804891192,837.5425171798627,352.7247119776799,5,37
1603473.8758166605,-2171019.413791975,10,2,129.0,278.05863631221064,1793.8253100480033,46.12307278080216,5,38
1603473.8758166605,-2170019.413791975,10,2,138.0,493.1665245796592,2781.032365481145,0.0,5,39
1603473.8758166605,-2169019.413791975,10,2,147.0,1400.485157604464,3774.979840043981,0.0,5,40
1603473.8758166605,-2168019.413791975,10,2,156.0,1929.8257812652128,4771.457279241146,0.0,5,41
1603473.8758166605,-2167019.413791975,10,2,164.0,1952.7800090591809,5769.153867120217,0.0,5,42
1603473.8758166605,-2166019.413791975,10,2,170.0,1423.8043832868443,5586.849902626181,0.0,5,43
1603473.8758166605,-2165019.413791975,10,2,174.0,1224.247635147759,5341.1744700598665,0.0,5,44
1603473.8758166605,-2164019.413791975,10,2,175.0,481.1024587103627,5276.684338177189,0.0,5,45
1603473.8758166605,-2163019.413791975,10,2,173.0,503.8544729489085,5399.875043916254,0.0,5,46
1603473.8758166605,-2162019.413791975,10,2,168.0,1487.42069459892,5698.587840426319,0.0,5,47
1603473.8758166605,-2161019.413791975,10,2,161.0,1742.194581043181,6147.288529115894,0.0,5,48
1603473.8758166605,-2160019.413791975,10,2,151.0,1061.6900717112294,6715.981621873676,0.0,5,49
1603473.8758166605,-2159019.413791975,10,2,139.0,380.6668634953114,7376.968349565431,0.0,5,50
1603473.8758166605,-2158019.413791975,10,2,125.0,57.53222037684789,8107.7071306032785,0.0,5,51
1603473.8758166605,-2157019.413791975,10,2,109.0,164.04107684612214,8891.016128698699,567.2821671561022,5,52
1603473.8758166605,-2156019.413791975,10,2,93.0,381.5665843986028,9714.186568412484,1355.6870517944967,5,53
1603473.8758166605,-2155019.413791975,10,2,77.0,751.4470157875808,10567.90771965154,2144.091936432891,5,54
1603473.8758166605,-2154019.413791975,10,2,62.0,1168.7158437112969,11445.345187289711,2932.496821071286,5,55
1604473.8758166605,-2182019.413791975,11,2,83.0,4211.514571987764,6876.742010861189,2466.9031792755663,6,27
1604473.8758166605,-2181019.413791975,11,2,92.0,3519.183820306344,5876.751581742009,2160.301540078689,6,28
1604473.8758166605,-2180019.413791975,11,2,99.0,3005.404221090173,4876.765077699686,1853.699900881811,6,29
1604473.8758166605,-2179019.413791975,11,2,105.0,2676.556558109531,3876.7855360640265,1547.0982616849335,6,30
1604473.8758166605,-2178019.413791975,11,2,110.0,2023.4302593162813,2876.820217218876,1240.4966224880554,6,31
1604473.8758166605,-2177019.413791975,11,2,113.0,1372.3594887344668,1876.89185404042,933.8949832911778,6,32
1604473.8758166605,-2176019.413791975,11,2,115.0,776.1360318831025,877.1268444913223,627.2933440943001,6,33
1604473.8758166605,-2175019.413791975,11,2,117.0,109.03946756267742,126.41190961030942,320.6917048974224,6,34
1604473.8758166605,-2174019.413791975,11,2,121.0,129.10883765485477,1123.6585070453325,14.090065700544638,6,35
1604473.8758166605,-2173019.413791975,11,2,125.0,348.9340901311279,688.0070599864947,0.0,6,36
1604473.8758166605,-2172019.413791975,11,2,131.0,361.5708307638196,994.8293770672914,0.0,6,37
1604473.8758166605,-2171019.413791975,11,2,139.0,464.9050878672592,1872.436184322694,0.0,6,38
1604473.8758166605,-2170019.413791975,11,2,147.0,1124.7062166840774,2832.375158633786,0.0,6,39
1604473.8758166605,-2169019.413791975,11,2,157.0,1880.681415902112,3812.9622099006697,0.0,6,40
1604473.8758166605,-2168019.413791975,11,2,166.0,2721.850805211865,4801.56355669853,0.0,6,41
1604473.8758166605,-2167019.413791975,11,2,175.0,2601.6248658526542,5133.125751494044,0.0,6,42
1604473.8758166605,-2166019.413791975,11,2,182.0,2273.410168858245,4654.485241763736,0.0,6,43
1604473.8758166605,-2165019.413791975,11,2,187.0,1273.4120698353363,4356.545162274982,0.0,6,44
1604473.8758166605,-2164019.413791975,11,2,190.0,273.41397081242786,4277.23492879298,0.0,6,45
1604473.8758166605,-2163019.413791975,11,2,189.0,726.5841282104809,4428.317007761732,0.0,6,46
1604473.8758166605,-2162019.413791975,11,2,185.0,1377.1399931352755,4788.031370655059,0.0,6,47
1604473.8758166605,-2161019.413791975,11,2,178.0,1011.315130454562,5314.178891561903,0.0,6,48
1604473.8758166605,-2160019.413791975,11,2,168.0,330.411593826854,5962.86425945344,0.0,6,49
1604473.8758166605,-2159019.413791975,11,2,155.0,349.1731360099521,6698.582168027229,0.0,6,50
1604473.8758166605,-2158019.413791975,11,2,140.0,917.380775626205,7495.749191839165,0.0,6,51
1604473.8758166605,-2157019.413791975,11,2,123.0,1139.4684687770398,8336.75649351129,0.0,6,52
