cluster,risk
0,0.38157429718875496
1,0.31893247408237596
2,0.4233051123412569
3,0.5089833016275629
4,0.3406497991967871
5,0.36598058902275765
6,0.589109163928441
7,0.45220529175525626
8,0.35511880856760375
9,0.3465310297794953
10,0.44585585585585585
11,0.5738382099827882
12,0.4593668792818332
13,0.47425702811244974
14,0.36585771658060817
15,0.379718875502008
16,0.34667264803896436
17,0.3194034319094559
18,0.6044719418213393
19,0.3187243519532676
20,0.4875502008032129
21,0.35826137884872816
22,0.4008835341365462
23,0.4437297909587066
24,0.46107228915662646
25,0.35350764761172343
26,0.6332472748135399
27,0.5239419215322829
28,0.4289397590361445
29,0.5385412618214794
30,0.3653805921359858
31,0.3403044176706827
32,0.43923900731129645
33,0.4887732749178532
34,0.3288265256146537
35,0.3435011155734047
36,0.49419298816889173
37,0.5063278756049839
38,0.41942149550583285
39,0.38126888506406575
40,0.3187871485943775
41,0.5412507171543316
42,0.5436746987951807
43,0.39112539045069167
44,0.5811997991967871
45,0.4437816129382394
46,0.35916154413572654
47,0.4108915662650602
48,0.6184738955823292
49,0.45889493457701774
50,0.4382298424467099
51,0.4576630847715185
52,0.6343399404067884
53,0.46752483618685264
54,0.606425702811245
55,0.6255991708770566
56,0.34871485943775105
57,0.36904383491412457
58,0.4796834396409166
59,0.40259736620902214
60,0.3679064082416623
61,0.33004016064257025
62,0.5160642570281124
63,0.40999372489959834
64,0.5625932300631096
65,0.3509218268422527
66,0.35936016794450526
67,0.5885996618051151
68,0.33153172690763044
69,0.3503745416448402
70,0.5845001628134159
71,0.36317747179192955
72,0.5104743297514381
73,0.6772231784279977
74,0.55070281124498
75,0.45647192543759946
76,0.3252097752712979
77,0.34880148043153
78,0.4288835341365461
79,0.4505441767068272
80,0.4232610441767068
81,0.38934546697428013
82,0.35915841142347166
83,0.326491744756805
84,0.45873270861222665
85,0.32705515941316277
86,0.4016131191432396
87,0.36663410398350155
88,0.6444528112449799
89,0.47091760983327247
90,0.38917247939124916
91,0.35309974592246535
92,0.4700908898752906
93,0.5923694779116465
94,0.3566666666666667
95,0.3199461998939152
96,0.46645113788487275
97,0.3980020080321285
98,0.3192051539491298
99,0.4035536431440046
100,0.33397399120290683
101,0.4452543507362784
102,0.37937663698271346
103,0.4531789379741186
104,0.5881024096385542
105,0.4441549983718658
106,0.33229540383757245
107,0.34589959839357426
108,0.335568396033112
109,0.485752533945305
110,0.4658777043658504
111,0.5168674698795181
112,0.6825014343086632
113,0.42684102262709367
114,0.45117442743948766
115,0.3490272199910754
116,0.6155657111203434
117,0.3378589357429718
118,0.37332818453300376
119,0.5052208835341365
120,0.5255466309683177
121,0.5870983935742972
122,0.5455153949129854
123,0.3997462577583059
124,0.43200566973777454
125,0.5652881797460111
126,0.4695352839931153
127,0.3342351223074114
128,0.6259775945888818
129,0.6042351223074115
130,0.4414977557287975
131,0.3499631177772313
132,0.44960075596503657
133,0.3849356610113925
134,0.6591069541323187
135,0.380485419940632
136,0.35892264711017985
137,0.3353270861222668
138,0.6238704819277109
139,0.331776863551768
140,0.35865994590607325
141,0.46775211958946894
142,0.5464972083455775
143,0.38871851040525734
144,0.3413076305220883
145,0.38091321808975026
146,0.3581277490916045
147,0.5682730923694779
148,0.4720989220038046
149,0.38171530566711287
150,0.44807340473003116
151,0.3522489959839357
152,0.44069076305220883
153,0.45535510462904244
154,0.39505406240345997
155,0.40978580990629176
156,0.31868641231593037
157,0.4666376617581437
158,0.3713721552878179
159,0.5471026965002869
160,0.6059532246633593
161,0.49658091826766526
162,0.528852251109702
163,0.46001889912591537
164,0.32808790718429276
165,0.464735069309496
166,0.37620673168865937
167,0.6327082689733292
168,0.6298600855033035
169,0.4401117985455335
170,0.5248772869254796
171,0.4154457831325301
172,0.41915662650602403
173,0.37108433734939755
174,0.3580283926403287
175,0.5632853996631688
176,0.5561556571112035
177,0.3335349397590361
178,0.4444495629577132
179,0.35825109963664176
180,0.3317534288095779
181,0.43403865461847385
182,0.3418174826967444
183,0.33794770920416356
184,0.32489959839357424
185,0.3245381526104417
186,0.4317207290701266
187,0.45321173583221774
188,0.338867469879518
189,0.41806302131603335
190,0.6613884107860012
191,0.41915662650602403
