centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,V,RiskFire,RiskPoaching,R
1598473.8758166605,-2158019.413791975,6,2,55.0,4933.200552410541,11978.239009095785,2854.660670039982,0.49,0.4404768376932362,0.1715743923258486,0.07557454576082843
1599473.8758166605,-2162019.413791975,7,2,101.0,1863.335419121881,9522.002901163478,1094.060018692464,0.49,0.4620377149786478,0.33407198914437275,0.15435385850263764
1599473.8758166605,-2161019.413791975,7,2,94.0,2802.0700224096695,9797.131832067527,787.4583794955856,0.49,0.4548903162928739,0.3099608964882102,0.14099821024194467
1599473.8758166605,-2160019.413791975,7,2,86.0,3772.4228205252575,10163.613777591903,715.3770865140425,0.49,0.44750218093523636,0.2817744148335294,0.12609466516975443
1599473.8758166605,-2159019.413791975,7,2,76.0,4179.770480301011,10611.988404874983,1451.0991078971329,0.49,0.4444006907824954,0.24570050288475329,0.10918947320759086
1599473.8758166605,-2158019.413791975,7,2,67.0,3957.989627110204,11132.365013344928,2239.5039925355272,0.49,0.44608930029265303,0.2133349576120435,0.09516644196911928
1599473.8758166605,-2157019.413791975,7,2,57.0,3719.3451821214467,11715.152738035104,3027.908877173921,0.49,0.4479063069167893,0.17851572077246292,0.07995831721778263
1600473.8758166605,-2166019.413791975,7,2,129.0,941.0200668622133,7545.518143455533,1368.6286508090843,0.49,0.4690600997011473,0.4415537257591269,0.20711523462798911
1600473.8758166605,-2165019.413791975,7,2,130.0,1046.9742323816379,8317.098149333848,1062.0270116122065,0.49,0.46825337897227093,0.439719292118856,0.2059000443339494
1600473.8758166605,-2164019.413791975,7,2,128.0,177.0729265066247,8275.830744450835,755.4253724153289,0.49,0.4748766902133693,0.43416526976525305,0.206174966311718
1600473.8758166605,-2163019.413791975,7,2,124.0,722.4416431689474,8354.91636079876,448.8237332184505,0.49,0.4707243263449422,0.4208503240167387,0.19810448526483
1600473.8758166605,-2162019.413791975,7,2,118.0,1703.3788345865576,8551.016330301793,142.2220940215734,0.49,0.4632556028439555,0.3998703111420273,0.1852421620474999
1600473.8758166605,-2161019.413791975,7,2,110.0,2698.347083021432,8856.36116959065,0.0,0.49,0.4556800487668571,0.3710314831778552,0.16907164434852437
