cluster,centroid_x,centroid_y,risk
61,1694331.0186738034,-2132376.5566491177,0.33004016064257025
62,1744362.7647055492,-2150380.5249030865,0.5160642570281124
63,1642755.1258166605,-2114925.663791975,0.40999372489959834
64,1729531.0186738034,-2171590.8423634036,0.5625932300631096
65,1680799.4572120095,-2130089.1812338354,0.3509218268422527
66,1675405.6939984786,-2113678.504701066,0.35936016794450526
67,1681737.0337113973,-2174835.203265659,0.5885996618051151
68,1663493.8758166605,-2143639.413791975,0.33153172690763044
69,1649626.049729704,-2138475.9355311054,0.3503745416448402
70,1722527.9298707147,-2172586.981359543,0.5845001628134159
71,1665831.0186738034,-2174186.080458642,0.36317747179192955
72,1746095.4974382822,-2169938.332710894,0.5104743297514381
73,1693216.7329595175,-2172733.6995062605,0.6772231784279977
74,1733348.8758166605,-2151425.663791975,0.55070281124498
75,1612832.366382698,-2200717.526999522,0.45647192543759946
76,1668218.5566677242,-2137806.6478345282,0.3252097752712979
77,1650826.816993131,-2153646.8647723673,0.34880148043153
78,1630531.0186738034,-2159447.9852205464,0.4288835341365461
79,1616498.8758166605,-2167994.413791975,0.4505441767068272
80,1634159.5901023748,-2175676.5566491177,0.4232610441767068
81,1635558.982199639,-2123402.3925153795,0.38934546697428013
82,1643184.9869277715,-2134152.7471253085,0.35915841142347166
83,1696584.9869277715,-2119041.6360141975,0.326491744756805
84,1611334.9869277715,-2178880.5249030865,0.45873270861222665
85,1666759.5901023748,-2166468.3933838117,0.32705515941316277
86,1626164.352007137,-2141757.50903007,0.4016131191432396
87,1669257.6596004444,-2119046.440819002,0.36663410398350155
88,1703630.1258166605,-2168456.913791975,0.6444528112449799
89,1603382.9667257513,-2168867.89864046,0.47091760983327247
90,1656263.349500871,-2114229.940107764,0.38917247939124916
91,1678331.0186738034,-2168876.5566491177,0.35309974592246535
92,1758710.7179219236,-2170572.0453709224,0.4700908898752906
93,1720140.542483327,-2167219.413791975,0.5923694779116465
94,1677126.9370411504,-2119896.964812383,0.3566666666666667
95,1700851.2343072265,-2131604.3194523524,0.3199461998939152
96,1606240.542483327,-2154786.0804586415,0.46645113788487275
97,1640898.8758166605,-2166919.413791975,0.3980020080321285
98,1701390.5424833272,-2113540.2471253085,0.3192051539491298
99,1625216.7329595175,-2116705.128077689,0.4035536431440046
100,1674116.7329595177,-2133947.9852205464,0.33397399120290683
101,1619950.066292851,-2201852.7471253085,0.4452543507362784
102,1661778.2236427474,-2179280.2833571923,0.37937663698271346
103,1614851.6535944382,-2193241.6360141975,0.4531789379741186
104,1721442.6258166605,-2178550.663791975,0.5881024096385542
105,1766987.389330174,-2168830.224602786,0.4441549983718658
106,1662918.320261105,-2151397.191569753,0.33229540383757245
107,1652873.8758166605,-2173539.413791975,0.34589959839357426
108,1661902.447245232,-2122999.0056287097,0.335568396033112
109,1753807.209149994,-2166328.937601499,0.485752533945305
110,1606602.908074725,-2181051.6718564914,0.4658777043658504
111,1744123.8758166605,-2141619.413791975,0.5168674698795181
112,1691559.5901023748,-2167162.2709348323,0.6825014343086632
113,1630205.5831337336,-2153458.438182219,0.42684102262709367
114,1616149.5514923362,-2149316.7110892725,0.45117442743948766
115,1650651.6535944382,-2160641.6360141975,0.3490272199910754
116,1712646.289609764,-2180709.0689643887,0.6155657111203434
117,1689348.8758166607,-2119831.913791975,0.3378589357429718
118,1689499.5168423015,-2161609.1573817185,0.37332818453300376
119,1747723.8758166605,-2163719.413791975,0.5052208835341365
120,1741140.542483327,-2166630.5249030865,0.5255466309683177
121,1721723.8758166605,-2161738.163791975,0.5870983935742972
122,1734973.8758166605,-2157686.080458642,0.5455153949129854
123,1649292.0576348423,-2115837.5956101567,0.3997462577583059
124,1628562.1111107783,-2171460.5902625634,0.43200566973777454
125,1728609.0109517956,-2160722.116494678,0.5652881797460111
126,1758816.7329595175,-2138447.9852205464,0.4695352839931153
127,1661519.330362115,-2136769.413791975,0.3342351223074114
128,1709315.9810798184,-2159703.6243182905,0.6259775945888818
129,1716413.2697560543,-2158049.7168222778,0.6042351223074115
130,1622562.1111107783,-2169372.354968446,0.4414977557287975
131,1649963.6717350278,-2146447.9852205464,0.3499631177772313
132,1617179.7581696017,-2180342.94320374,0.44960075596503657
133,1648494.2839799258,-2179978.5974654444,0.3849356610113925
134,1687052.8231850816,-2172098.361160396,0.6591069541323187
135,1641299.9627731822,-2127236.8050963227,0.380485419940632
136,1675691.2671210081,-2126258.5442267577,0.35892264711017985
137,1660740.5424833272,-2164419.413791975,0.3353270861222668
138,1710005.1258166605,-2171550.663791975,0.6238704819277109
139,1663254.3636215383,-2158263.3162309993,0.331776863551768
140,1662412.6513268647,-2115754.107669526,0.35865994590607325
141,1605362.7647055492,-2164408.302680864,0.46775211958946894
142,1677181.192889831,-2177531.608913926,0.5464972083455775
143,1637155.6939984786,-2156860.3228828837,0.38871851040525734
144,1687253.8758166605,-2130659.413791975,0.3413076305220883
145,1648299.9627731822,-2130106.3703137143,0.38091321808975026
146,1643973.8758166607,-2141447.9852205464,0.3581277490916045
147,1727562.1111107783,-2176842.94320374,0.5682730923694779
148,1758052.8231850816,-2161624.67694987,0.4720989220038046
149,1630051.6535944382,-2128597.191569753,0.38171530566711287
150,1618112.7647055492,-2161074.969347531,0.44807340473003116
151,1648218.061863172,-2167600.809140812,0.3522489959839357
152,1623045.304388089,-2163562.2709348323,0.44069076305220883
153,1613500.1916061342,-2157098.361160396,0.45535510462904244
154,1629755.9270987117,-2147404.0291765905,0.39505406240345997
155,1642878.6377214226,-2120614.6518872133,0.40978580990629176
156,1673057.209149994,-2162290.2471253085,0.31868641231593037
157,1693140.542483327,-2178352.7471253085,0.4666376617581437
158,1654973.8758166607,-2127019.413791975,0.3713721552878179
159,1734502.4472452318,-2175676.5566491177,0.5471026965002869
160,1715856.228757837,-2170578.237321387,0.6059532246633593
161,1750392.7947355795,-2151776.170548732,0.49658091826766526
162,1740131.7705535025,-2154282.5716867116,0.528852251109702
163,1610532.6993460723,-2185960.5902625634,0.46001889912591537
164,1695501.6535944382,-2157658.302680864,0.32808790718429276
165,1607409.3596876282,-2159438.768630685,0.464735069309496
166,1631592.9234357083,-2137543.2233157847,0.37620673168865937
167,1701961.05530384,-2161711.721484283,0.6327082689733292
168,1704828.714526338,-2173922.639598427,0.6298600855033035
169,1623392.7947355795,-2180830.224602786,0.4401117985455335
170,1741334.9869277715,-2160630.5249030865,0.5248772869254796
171,1639331.0186738034,-2172847.9852205464,0.4154457831325301
172,1637012.337355122,-2116583.5163560775,0.41915662650602403
173,1634473.8758166605,-2143717.0882105795,0.37108433734939755
174,1668915.7362817768,-2130833.3672803473,0.3580283926403287
175,1729312.5854940799,-2154632.3170177815,0.5632853996631688
176,1731646.289609764,-2166226.310343699,0.5561556571112035
177,1661973.8758166605,-2130019.413791975,0.3335349397590361
178,1620503.2875813665,-2145107.6490860926,0.4444495629577132
179,1643831.0186738034,-2161662.2709348323,0.35825109963664176
180,1693247.4607223207,-2125925.0741693336,0.3317534288095779
181,1627255.1258166605,-2176269.413791975,0.43403865461847385
182,1656048.3439017667,-2141253.4563451665,0.3418174826967444
183,1659616.7329595177,-2171896.964812383,0.33794770920416356
184,1668473.8758166605,-2148298.4835594166,0.32489959839357424
185,1668799.4572120095,-2157949.6463501146,0.3245381526104417
186,1628704.6450474297,-2165275.8240483855,0.4317207290701266
187,1614834.9869277715,-2174186.080458642,0.45321173583221774
188,1688740.5424833272,-2112952.7471253085,0.338867469879518
189,1635961.05530384,-2162839.926612488,0.41806302131603335
190,1698159.5901023748,-2168419.413791975,0.6613884107860012
191,1636989.0273318118,-2180686.0804586415,0.41915662650602403
