centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index,V,RiskFire,RiskPoaching,R
1609473.8758166605,-2163019.413791975,14,2,250.0,674.8982603515278,1366.2710850497808,0.0,11,46,0.49,0.4574598515864498,0.9592357525147127,0.438811844981797
1610473.8758166605,-2163019.413791975,15,2,254.0,846.1942993155469,2077.98886165575,0.0,12,46,0.49,0.4542521038519896,0.9633864001658172,0.4376202990977172
1609473.8758166605,-2164019.413791975,14,2,249.0,1659.0816378414222,742.5926155692434,0.0,11,45,0.49,0.45018316444536655,0.9650177020156371,0.43443472283919526
1610473.8758166605,-2164019.413791975,15,2,254.0,1844.9175733671057,1732.854530542084,0.0,12,45,0.49,0.44689933618844996,0.9688162378956943,0.43296333360417716
1611473.8758166605,-2163019.413791975,16,2,255.0,1225.8127772226771,2380.900561129029,0.0,13,46,0.49,0.4495279845161515,0.9623949292014002,0.4326234528324698
1612473.8758166605,-2164019.413791975,17,2,252.0,926.8629612009976,1703.8280468368334,0.0,14,45,0.49,0.4497807871022967,0.9616408279851362,0.43252756852085883
1612473.8758166605,-2163019.413791975,17,2,251.0,1094.696192340244,1380.9011269908158,0.0,14,46,0.49,0.4485557316271798,0.9628452464023644,0.4318897539437648
1610473.8758166605,-2162019.413791975,15,2,250.0,101.44000247882616,2762.8410367428846,0.0,12,47,0.49,0.45973510945858626,0.9376101769450924,0.4310523173273365
1613473.8758166605,-2163019.413791975,18,2,244.0,281.4747827543802,380.90466400988487,0.0,15,46,0.49,0.452532616350786,0.9511060783415283,0.43040652205902746
1609473.8758166605,-2162019.413791975,14,2,247.0,282.7110135972165,2276.389589457007,0.0,11,47,0.49,0.46035953873889135,0.9338010563464374,0.4298842235735354
1608473.8758166605,-2163019.413791975,14,2,243.0,403.9293927449194,1189.687205327875,0.0,10,46,0.49,0.45946329496869404,0.9350349514677184,0.4296142397122508
1611473.8758166605,-2162019.413791975,16,2,250.0,266.3859138847855,2583.127056751412,0.0,13,47,0.49,0.45656125970584827,0.940393008016684,0.4293470163586691
1608473.8758166605,-2164019.413791975,14,2,242.0,1187.4866220371389,316.3902042979751,0.0,10,45,0.49,0.4536699632125376,0.9442771512151803,0.42839018045423066
1611473.8758166605,-2164019.413791975,16,2,254.0,1499.6262581239882,2581.633121233116,0.0,13,45,0.49,0.4475207386953208,0.9554627995368538,0.427589417844632
1612473.8758166605,-2165019.413791975,17,2,248.0,107.32351701643682,2428.821134594133,0.0,14,44,0.49,0.45576280434856875,0.9352401417473688,0.42624766974213374
1612473.8758166605,-2162019.413791975,17,2,246.0,554.6875361647778,1706.0908041077976,0.0,14,47,0.49,0.4524973858297936,0.9387101401138589,0.42476388445344043
1613473.8758166605,-2164019.413791975,18,2,245.0,750.870870645396,1068.2838825554736,0.0,15,45,0.49,0.4491211486749993,0.9445730178087169,0.4242277187656615
1611473.8758166605,-2165019.413791975,16,2,250.0,1105.3732771761247,2852.8710048295816,0.0,13,44,0.49,0.4504108909469657,0.9362160828819708,0.42168192000974675
1610473.8758166605,-2165019.413791975,15,2,249.0,2105.2069522875345,1920.2947531238767,0.0,12,44,0.49,0.44498304227780044,0.9468541917688774,0.421334058846803
1613473.8758166605,-2162019.413791975,18,2,239.0,212.0966805931638,1071.8891138551458,0.0,15,47,0.49,0.4530368411601444,0.9213872475195805,0.41742236810151084
1608473.8758166605,-2162019.413791975,14,2,240.0,485.1808171460567,2174.9962141727938,0.0,10,47,0.49,0.4588625520495824,0.9088443105422878,0.41703461975117734
1609473.8758166605,-2165019.413791975,14,2,244.0,2577.676169162676,1111.8412240751084,0.0,11,44,0.49,0.4433914169247136,0.9400593293935113,0.4168142380530851
1613473.8758166605,-2165019.413791975,18,2,242.0,204.6968297483792,2034.053230471393,0.0,15,44,0.49,0.45309062165089375,0.918530644868224,0.41617762088873994
1614473.8758166605,-2164019.413791975,18,2,237.0,39.02808473321218,1174.4917599829191,0.0,16,45,0.49,0.45429466570470495,0.9121707313111549,0.4143942974466174
1614473.8758166605,-2163019.413791975,18,2,235.0,602.0291727971306,619.1032253222896,0.0,16,46,0.49,0.4502028974456377,0.912557152047067,0.4108358739363289
1607473.8758166605,-2163019.413791975,13,2,232.0,84.48392389551644,1721.6313819161735,0.0,9,46,0.49,0.4637903698058039,0.88506429567092,0.41048429699112937
1608473.8758166605,-2165019.413791975,14,2,236.0,1806.590819151639,885.9175335382968,0.0,10,44,0.49,0.44909253622771733,0.9125401810361206,0.4098149843112117
1607473.8758166605,-2164019.413791975,13,2,231.0,854.1007872559352,1284.0411714791153,0.0,9,45,0.49,0.458075894068611,0.8875103755663897,0.4065471087827427
1611473.8758166605,-2161019.413791975,16,2,240.0,696.885347260293,3110.691772043302,0.0,13,48,0.49,0.45340539540848585,0.8949348341329886,0.40576828233489537
1612473.8758166605,-2161019.413791975,17,2,236.0,224.31689521400327,2431.9958349466547,0.0,14,48,0.49,0.45490884129524206,0.8899401799052443,0.40484165606277395
1610473.8758166605,-2161019.413791975,15,2,241.0,977.6488134580964,3598.4084647876803,0.0,12,48,0.49,0.45328431374843814,0.891383423242458,0.40405012329119117
1609473.8758166605,-2161019.413791975,14,2,239.0,1235.8172487494894,3239.9386488224395,0.0,11,48,0.49,0.4533126244706303,0.8892926396094912,0.40312758038379287
1611473.8758166605,-2166019.413791975,16,2,242.0,1462.2845197322583,3289.927063789137,0.0,13,43,0.49,0.44779447995920096,0.8997060191251144,0.4028833889502935
1614473.8758166605,-2165019.413791975,18,2,234.0,291.180958655651,2091.787031447296,0.0,16,44,0.49,0.45246207399605215,0.887329216049352,0.40148281741098085
1612473.8758166605,-2166019.413791975,17,2,240.0,948.867841392186,3300.8050827812367,0.0,14,43,0.49,0.4496201681427824,0.8921087262300921,0.4011100754892174
1610473.8758166605,-2166019.413791975,15,2,240.0,2313.995351323375,2524.33734943053,0.0,12,43,0.49,0.44344590718859284,0.9036512194361123,0.400720434784925
